trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-176.20725065984877,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-139.9706726088467,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-83.87349734038595,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,1,-232.10617133266152,"{0: 11, 1: 1, 2: 6, 3: 3, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-87.72143346947715,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-139.18951263578194,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,17,2.5174540476885436,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-63.3710279182732,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-87.86680183959739,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-71.41691711736232,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,10,11.794912983160733,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,4,7.0656805493197865,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-12.222681799152161,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-56.91362008440379,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,18,-11.15490598577152,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,2,-32.50290916170627,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,11,-20.905529519600762,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,4,-54.12674544857549,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,20,7.526292603719812,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-39.79652243354216,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-65.39708210802812,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,5,5.822793845497769,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,20,17.397444793490983,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-116.78716606730387,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,8,22.218902153830893,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,-30.575385126429776,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,6,-4.304286647013407,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,3,21.199811578943248,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,12.021917492007315,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,16,4.778910947917117,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
