trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-94.4188187742386,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9025}",20,0,-99.75983618271229,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-82.62538227588726,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-20.692525807528295,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",20,0,-62.21544957107902,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-48.33337599136718,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,0,-85.48568390738352,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",25,0,-26.50812407019937,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-57.34572610105478,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",20,0,-83.56593932507496,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",20,0,-9.762110518356003,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",20,0,-89.6240856532965,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",30,9,7.8144793424188155,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",25,0,-2.1647590215753483,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",25,0,9.765784500438492,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",20,7,-23.27450664555243,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",25,0,-94.77737714305361,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",35,2,-26.549712689162927,"{0: 29, 1: 0, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",20,0,-0.24046553897777256,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",20,6,10.396961705642394,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",20,10,-23.220025134642817,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",35,23,-9.073562024118349,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",30,13,6.480456974330242,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",25,13,-0.1710351596459565,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",20,12,-13.621946727562866,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.263520094465742}",25,13,-17.052446570641454,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",25,16,14.123208782708874,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",25,15,-46.04149063600777,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",20,9,-1.3062692906519628,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",30,1,8.21086375382608,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",30,16,14.54911271177532,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",20,13,14.45544430315636,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557577}",25,9,-20.08748603993511,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.17482461472379698}",20,7,20.489831604436606,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760714}",30,18,21.609637128838425,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.15777921478822676}",30,10,28.219326284760985,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881542}",20,12,1.055563751857197,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14239574134637464}",30,4,3.0964511192359736,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.1352759542790559}",20,0,6.147509279619064,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.1285121565651031}",20,14,10.181759495502153,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.12208654873684793}",25,13,-1.688208026919095,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.11598222130000553}",25,8,16.99094898885304,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11018311023500525}",35,15,30.8974905018317,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.10467395472325498}",30,15,26.044283250550812,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709223}",30,19,21.36095114111813,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.09446824413773762}",30,18,13.69718593851146,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",25,14,12.053533037379717,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",25,14,9.634176811753331,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.08099471081759278}",20,7,22.43614231241908,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671314}",25,14,15.757039853407049,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07309772651287748}",20,14,11.508215402410794,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.0694428401872336}",25,11,26.534809610967223,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.0659706981778719}",35,18,-14.78478757365595,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.0626721632689783}",25,15,15.278245192596884,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.059538555105529384}",20,11,-47.45135422521473,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
