trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.98648938614138,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.72068991688093,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-57.207190470528985,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.95094910833893,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-205.89607415167205,"{0: 15, 1: 1, 2: 10, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.73033972884085,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.07504244845232,"{0: 19, 1: 6, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,3,-150.59762921104922,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.56814856499368,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,11,-39.45696550852797,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.88108012426395,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.98008689702567,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.03878766795123,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,13,-101.42492240688543,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-203.89375504337292,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.95623604098093,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.9789542088519,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,15,-27.762195753709424,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-225.86348060786665,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.12464932982768,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-186.97795727378676,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.38311193600117,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.0626627793027,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.63877865147909,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.12383428224534,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-114.03639347385572,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-102.2114404995237,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-121.66240303792658,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.30081977178685,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,11,-64.55613711440097,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 1}",1
